Internal-count,RA,DEC,Z,fuv_mag,nuv_mag,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected,X_IMAGE,Y_IMAGE,NUV_ned,FUV_ned,Separation
10,352.3902587890625,0.19501684606075287,0.73125255,-999.0,25.417028,1.0,2.0224236704981835,-0.7366939649626044,2.0798672475762183,0.47272727,0.075,2.036532986574385,-0.7418334657283006,2.0356697,-0.741609024,1777.4754831272,885.8804047962157,,,
13,352.3210754394531,0.2851630747318268,0.74105716,-999.0,24.23074,1.0,-0.9010535220373401,3.0724750743209586,6.2014527863482485,0.47272727,0.075,-0.9074176421350808,3.0941758944077407,-0.9079788,3.093970218,2089.9368341229992,1114.4466122700665,,,
22,352.11602783203125,0.12818501889705658,0.74336976,-999.0,24.714668,1.0,-9.551649625200541,-3.555461620393433,0.45178441092306665,0.47272727,0.075,-9.632894643906472,-3.585703888189245,-9.635429,-3.584682655,1661.905622691804,1789.2354765476105,23.59117,-999.0,0.9680435647282717
14,352.2974548339844,0.20661991834640506,0.73823524,-999.0,24.21955,1.0,-1.8993259586890656,-0.24637075299765782,3.0316210233224887,0.47272727,0.075,-1.9125482220844914,-0.24808587670992088,-1.9132157,-0.248154748,1850.516149481874,1191.6334742637657,,,
15,352.2776794433594,0.14366178214550018,0.7381048000000001,-999.0,24.582674,1.0,-2.7345083473927856,-2.906374437445753,0.6477241220767533,0.47272727,0.075,-2.7540607389379086,-2.9271557128190233,-2.7555619,-2.927702885,1669.7047895554106,1256.9715828362903,,,
20,352.15521240234375,0.2891823947429657,0.73857456,-999.0,24.123158,1.0,-7.9019272609735784,3.2392711320202587,6.1702795916317354,0.47272727,0.075,-7.965363713621393,3.2652759107271834,-7.968622,3.264489289,2097.7208192060934,1659.0495490681242,23.87349,-999.0,0.955313999401373
8,352.422107,0.185611,0.0,17.556103,17.950548,4.0,3.367861722749288,-1.1340264791680388,-52.121213716327354,0.47272727,0.075,3.391771996595917,-1.1420775471448148,3.3888777,-1.141387743,-2403.430156484802,788.5577989190912,17.95055,17.5561,0.0015655145898101695
16,352.2629699707031,0.185110405087471,0.74342996,24.943863,22.621346,1.0,-3.356160518071231,-1.1551788342689226,2.6029705998119574,0.47272727,0.075,-3.3799861565507348,-1.163379536570338,-3.3818,-1.163755071,1818.7514408510938,1305.3576544027972,,,
21,352.13177490234375,0.2903749048709869,0.7399318,-999.0,24.253574,1.0,-8.88902433104349,3.2887789037163455,6.315209080105465,0.47272727,0.075,-8.962703671964077,3.3160389328303506,-8.9653742,3.314686692,2110.5287537684967,1735.574735843214,,,
23,352.073503,0.202061,0.74776,0.0,25.999,3.0,-11.341588243654323,-0.43809484447039143,3.5611388436349354,0.47272727,0.075,-11.442438571814524,-0.44199041957688956,-11.4434162,-0.442193344,1901.1173104129655,1929.4198924446846,22.05171,23.03062,0.14804143056180916
12,352.344871,0.106164,0.74355,0.0,25.999,3.0,0.10439565884226028,-4.4904126516402565,-0.365443345289286,0.47272727,0.075,0.10514893665108382,-4.522813694369935,0.1039264,-4.52168853,1593.7680779929974,1039.6640697500623,21.94439,23.0083,0.3386602564871591
24,352.051178,0.208688,0.748233,0.0,25.999,3.0,-12.279077377093211,-0.15850690209901103,3.8459053943642654,0.47272727,0.075,-12.392450074276638,-0.15997039601319374,-12.3909978,-0.160365793,1920.6569988040662,2000.7942878660806,,,
