Internal-count,RA,DEC,Z,fuv_mag,NUV_ned,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected,X_IMAGE,Y_IMAGE,NUV_ned_2,FUV_ned
10,253.05911254882807,35.040409088134766,0.7316108,,23.250011,1.0,-2.838628397312891,0.9121419991802835,3.5778438030239124,0.47272727,0.075,-2.8586180528684486,0.9185653141864436,-2.859939461088983,0.9187655536096944,1890.8562937576594,1284.088468490863,99.9,99.9
11,253.1322784423828,34.90934371948242,0.731768,,23.274382,1.0,3.231739529930075,1.400442887423861,4.025284051607582,0.47272727,0.075,3.2546723054531004,1.4103805826102065,3.251861523028792,1.4094210939570193,1931.560080720601,813.9833844439278,99.9,99.9
12,252.99595642089844,35.089752197265625,0.737252,,23.395206,1.0,-5.54360680731929,-0.42625217101857144,2.798620861598343,0.47272727,0.075,-5.584522870332406,-0.42939823842469527,-5.588059815491127,-0.4296215175066604,1830.0095260357302,1492.9414201317002,23.4009,99.9
13,252.93011474609372,35.08903884887695,0.73042023,,23.508875,1.0,-6.294321877176726,-2.5737412672292206,0.37779092216955634,0.47272727,0.075,-6.34226362081168,-2.5933445932783092,-6.346120779116254,-2.593860729675473,1645.7077073339387,1548.578915382415,99.9,99.9
14,253.1490936279297,34.855316162109375,0.71804017,,23.910023,1.0,5.574740063725449,1.1688326944156775,2.8080260237485595,0.47272727,0.075,5.616017176757447,1.1774870960005739,5.606572012703672,1.1758185492280435,1841.3284570136645,632.5403557681511,99.9,99.9
15,253.0832672119141,34.75908279418945,0.731103,,23.990292,1.0,8.609392166414255,-2.3634865429006133,0.61474996917116,0.47272727,0.075,8.679408031868507,-2.382707592725271,8.65214899421564,-2.376927004785092,1682.0286068055207,394.45679904944734,99.9,99.9
16,252.99105834960935,35.160865783691406,0.7370588,,24.238768,1.0,-8.4185196075882,0.4438571383060791,3.5614465721889217,0.47272727,0.075,-8.48586109772194,0.4474076439167196,-8.490122223984056,0.44715638611253233,1885.2407621802458,1718.1585600669491,99.9,99.9
17,252.9925842285156,35.03624725341797,0.64604986,,24.309475,1.0,-3.4611674464523228,-1.3105911408747764,-4.706332008945408,0.47272727,0.075,-3.4857970553019375,-1.3199172852063956,-3.487705939772927,-1.3203383550097365,1253.117886612575,1330.3126630188603,99.9,99.9
18,252.8568878173828,35.16483688354492,0.7162534,,24.342213,1.0,-10.158457163246727,-3.8448914400392282,-1.8042849466834108,0.47272727,0.075,-10.247080293725235,-3.878434556901414,-10.248506516994443,-3.876739366728665,1478.7551137826358,1849.7396202951709,99.9,99.9
19,252.9763641357422,34.82233428955078,0.72910404,,24.411566,1.0,4.834623382954393,-4.933803581615106,-1.826732472745344,0.47272727,0.075,4.87155676296795,-4.971494633876695,4.861735676443671,-4.96464871428347,1491.6075348584886,682.7288102023331,99.9,99.9
20,252.97984313964844,34.959171295166016,0.7340468,,24.891018,1.0,-0.5529518044417673,-2.841283475857377,0.40738928724237855,0.47272727,0.075,-0.5568413467419169,-2.861269471340691,-0.5573211938071786,-2.8612902886558476,1651.533226046873,1102.3846729831957,99.9,99.9
21,253.18739318847656,34.742332458496094,1.044807,,24.519653,2.0,10.50160890252395,0.7891687900692916,3.8717111575751044,0.47272727,0.075,10.592076368624719,0.795967186527021,10.548901542259918,0.7928721309921627,3681.2731544994795,257.1622070671335,99.9,99.9
22,253.0784454345703,34.74169158935547,0.9580562,,24.955788,2.0,9.240203293510822,-2.7710198429850457,-4.736579798205005,0.47272727,0.075,9.317254428496248,-2.794126501700994,9.284433671986449,-2.786428412032835,2970.739066300729,331.6808632236773,99.9,99.9
