Wavelength,Trans_25km,Trans_26km,Trans_27km,Trans_28km,Trans_29km,Trans_30km,Trans_31km,Trans_32km,Trans_33km,Trans_34km,Trans_35km,Trans_36km,Trans_37km,Trans_38km,Trans_39km,Trans_40km,Trans_41km,Trans_42km,Trans_43km,Trans_44km,Trans_45km
196.69999999999905,0.1066606106122762,0.14453845903979626,0.1905033936126866,0.24420925678128927,0.30448212627371113,0.3692342077686856,0.43738454158558926,0.5083060706808504,0.5795455947227452,0.6482618235722546,0.7114000452959892,0.7697940937702346,0.8255186861434597,0.8773460130613642,0.9240736533430284,0.9645704865744145,1.0,1.0,1.0,1.0,1.0
196.79999999999905,0.06149749613291652,0.09064269454092927,0.1286843853003078,0.175969286894857,0.23177478013296712,0.294045182545614,0.3618672240664529,0.4350480533641415,0.5109496778138286,0.5862354367897686,0.6570813803554428,0.7239610640440338,0.7889568601333852,0.8504197316823091,0.9066829523541812,0.956135951692041,1.0,1.0,1.0,1.0,1.0
196.89999999999904,0.12408914389242712,0.16439073536457469,0.21235400410838476,0.2674750486701925,0.32850799152441673,0.3934128888317514,0.461084832349226,0.5307997219634061,0.6002030604568886,0.6666278638416404,0.7272546838598404,0.7830055548872145,0.8359374115270858,0.8849389270378403,0.9289310308466958,0.96690608041887,1.0,1.0,1.0,1.0,1.0
196.99999999999903,0.12511094459474864,0.16557027184006265,0.21367057862402794,0.2688948801850819,0.3299863083474776,0.3948980832963861,0.4625274008177362,0.5321563230448392,0.6014373253488018,0.6677147745654205,0.7281839843771819,0.783772288900241,0.8365354768508172,0.8853694169787286,0.9292025160516085,0.9670344855878097,1.0,1.0,1.0,1.0,1.0
197.09999999999903,0.10784895946127387,0.14601271124018622,0.1922593418866821,0.2462104521218281,0.3066535071610353,0.37145992819090407,0.43955682135164603,0.5103540402699568,0.5814088633264096,0.6498982611739018,0.7127919990616299,0.7709339726921395,0.8263984015904763,0.8779700207752417,0.9244594283542259,0.9647482378051333,1.0,1.0,1.0,1.0,1.0
197.19999999999902,2.977517473972579e-23,7.768609068628754e-20,8.233774731619207e-17,3.546480700038627e-14,6.210336175562293e-12,4.423105852492448e-10,1.6423238403935015e-08,4.0731729573506314e-07,6.748151921586822e-06,7.468788077845315e-05,0.000552286000291864,0.003042307445956644,0.01391804120503292,0.05288062477769584,0.16686527501552087,0.4373144001712162,1.0,1.0,1.0,1.0,1.0
197.29999999999902,2.0546598804599346e-10,5.921953537643424e-09,1.1666694200895519e-07,1.5711578792609908e-06,1.4464800665232881e-05,9.104520897138611e-05,0.0004342815544249082,0.0017398497482659517,0.005854432322663867,0.016546156511856806,0.03927854271597621,0.08208752635456189,0.15829103873007547,0.28163994643172785,0.4623728728659507,0.7004094780927562,1.0,1.0,1.0,1.0,1.0
197.399999999999,0.0053833591718549356,0.011507926434706155,0.022697092030725886,0.04130229547214602,0.06934424063832192,0.10741878818304051,0.15649926784594073,0.21858791218961318,0.29269960114637955,0.375751447542913,0.46244716713814715,0.5518359063534357,0.6457174116430093,0.7409004056083424,0.8336083280645378,0.9197064183907181,1.0,1.0,1.0,1.0,1.0
197.499999999999,0.04534308768056015,0.0700812106248458,0.10373917705182008,0.14707372907743646,0.19970039194776154,0.25970161024089666,0.32630487835359673,0.39959772187360176,0.4769502671853792,0.5548479530091969,0.6291088894588384,0.6999972832642766,0.769573849900246,0.8359642315669359,0.8972398764925982,0.9515091020070958,1.0,1.0,1.0,1.0,1.0
197.599999999999,1.8680095301224283e-40,2.0548872061016617e-34,4.560788495474777e-29,2.044988310652428e-24,1.8547940813727324e-20,3.4072867296188855e-17,1.9756236244590298e-14,5.628190264737955e-12,7.879741791551173e-10,5.4230474665980286e-08,1.8351539293601098e-06,3.6989435202498145e-05,0.0005377703072136523,0.005639661383351338,0.0426647784978715,0.2328463190971108,1.0,1.0,1.0,1.0,1.0
197.699999999999,0.011314295771671926,0.021608400050198415,0.03857051771069574,0.06434682012046983,0.10033176890251364,0.14621455216947293,0.20228354277352972,0.26984735067939364,0.3471072688157037,0.43052412073581925,0.5148963184715835,0.5995947586728638,0.6864903897431206,0.7727691055579683,0.8552710227238769,0.9306717790363483,1.0,1.0,1.0,1.0,1.0
197.799999999999,0.08634954758385324,0.12103899023451414,0.16432252003180603,0.21606064721186125,0.27514477656386116,0.33935488721561485,0.40767509472451924,0.47973228542459634,0.5529788224378143,0.6243712981312124,0.690561454920082,0.7522597296535758,0.811555167779398,0.8670677957149641,0.9174298357035714,0.9613410307952103,1.0,1.0,1.0,1.0,1.0
